PicoQuant FluoFit 4.6.5.0
Saved : 5/21/2025 12:47:27 PM

Repeated with correct IRF

Model: Exp. [Reconv.] (Exponential)
Plotted Data Set #0 Decay:
"\..\tryptamine_0p067odat261ex_350em_200uw_50ns_20mins_1938_may20_2025.sdt" (0)
Plotted Data Set #0 IRF:
"\..\irf_261ex_261emt261ex_100uw_2143_nodblexc_05202025_correctcuvetteposition.sdt" (0)
X²(reduced): 0.8238 ; Fitted Data Points: 3766

Data Set #0
     Decay                 IRF                   Model Decay           Residuals
     t[ns]     Intens.     t[ns]     Intens.     t[ns]     Intens.     t[ns]       diff.
    2.2095          1    1.3773          1    2.2095      0.000    2.2095      0.000
    2.2217          0    1.3895          0    2.2217      0.000    2.2217      0.000
    2.2339          0    1.4017          0    2.2339      0.000    2.2339      0.000
    2.2461          0    1.4139          0    2.2461      0.000    2.2461      0.000
    2.2583          0    1.4261          0    2.2583      0.000    2.2583      0.000
    2.2705          0    1.4383          0    2.2705      0.000    2.2705      0.000
    2.2827          0    1.4505          0    2.2827      0.000    2.2827      0.000
    2.2949          0    1.4627          0    2.2949      0.000    2.2949      0.000
    2.3071          0    1.4749          0    2.3071      0.000    2.3071      0.000
    2.3193          0    1.4871          0    2.3193      0.000    2.3193      0.000
    2.3315          0    1.4993          0    2.3315      0.000    2.3315      0.000
    2.3437          0    1.5116          0    2.3437      0.000    2.3437      0.000
    2.3560          0    1.5238          0    2.3560      0.000    2.3560      0.000
    2.3682          0    1.5360          0    2.3682      0.000    2.3682      0.000
    2.3804          0    1.5482          0    2.3804      0.000    2.3804      0.000
    2.3926          0    1.5604          0    2.3926      0.000    2.3926      0.000
    2.4048          0    1.5726          0    2.4048      0.000    2.4048      0.000
    2.4170          0    1.5848          0    2.4170      0.000    2.4170      0.000
    2.4292          0    1.5970          0    2.4292      0.000    2.4292      0.000
    2.4414          0    1.6092          0    2.4414      0.000    2.4414      0.000
    2.4536          0    1.6214          0    2.4536      0.000    2.4536      0.000
    2.4658          0    1.6336          0    2.4658      0.000    2.4658      0.000
    2.4780          0    1.6458          0    2.4780      0.000    2.4780      0.000
    2.4902          0    1.6580          0    2.4902      0.000    2.4902      0.000
    2.5024          0    1.6702          0    2.5024      0.000    2.5024      0.000
